NumKeys,Operation,BPlusTreeTime,BruteForceTime,BPlusTreeMem,BruteForceMem
10,Insert,0.02456599986544461,0.011410999832150992,0.845703125,0.794921875
10,Search,0.04151699977228418,0.012102999789931346,0.845703125,0.794921875
10,Range,0.005787800000689458,0.0034564000088721514,0.845703125,0.794921875
10,Delete,0.010610000117594609,0.005719999990105862,0.845703125,0.794921875
20,Insert,0.042179000047326554,0.016009999853849877,2.29296875,1.56640625
20,Search,0.02844299979187781,0.02114000017172657,2.29296875,1.56640625
20,Range,0.005765800005974597,0.0033973999961744994,2.29296875,1.56640625
20,Delete,0.01585000018167193,0.010288999874319416,2.29296875,1.56640625
30,Insert,0.03605699976105825,0.022563000129594002,2.681640625,1.712890625
30,Search,0.03971400019509019,0.03133900008833734,2.681640625,1.712890625
30,Range,0.00843679999888991,0.0047588999677827815,2.681640625,1.712890625
30,Delete,0.028113000098528573,0.0256680000347842,2.681640625,1.712890625
40,Insert,0.050503999773354735,0.029814999834343325,3.796875,3.109375
40,Search,0.05357000009098556,0.04244999990987708,3.796875,3.109375
40,Range,0.006751700038876152,0.00393939999412396,3.796875,3.109375
40,Delete,0.03463499979261542,0.022221000108402222,3.796875,3.109375
50,Insert,0.0608739997005614,0.03696000021591317,4.677734375,3.255859375
50,Search,0.06681499962724047,0.052198000048520043,4.677734375,3.255859375
50,Range,0.00563749999855645,0.003974399987782817,4.677734375,3.255859375
50,Delete,0.0438120000580966,0.02883400020436966,4.677734375,3.255859375
60,Insert,0.0710230001459422,0.04261999993104837,5.09375,3.40234375
60,Search,0.07744499998807441,0.06304799990175525,5.09375,3.40234375
60,Range,0.006514200003948645,0.003924400016330765,5.09375,3.40234375
60,Delete,0.05336999993232894,0.03587699984564097,5.09375,3.40234375
70,Insert,0.08697300017956877,0.0649019998490985,6.740234375,6.048828125
70,Search,0.18675899991649203,0.07702400034759194,6.740234375,6.048828125
70,Range,0.008425800024269847,0.004750899961436517,6.740234375,6.048828125
70,Delete,0.06407000000763219,0.043852000089827925,6.740234375,6.048828125
80,Insert,0.09955699988495326,0.06127500000729924,7.28515625,6.1953125
80,Search,0.10621899991747341,0.12719799997285008,7.28515625,6.1953125
80,Range,0.008315499962918693,0.004857100020672078,7.28515625,6.1953125
80,Delete,0.07017200005066115,0.052418000450416,7.28515625,6.1953125
90,Insert,0.11408299997128779,0.06425099991247407,8.822265625,6.341796875
90,Search,0.11865199985550134,0.09671100042396574,8.822265625,6.341796875
90,Range,0.007924800002001575,0.00455250001323293,8.822265625,6.341796875
90,Delete,0.0835860000734101,0.06039299978510826,8.822265625,6.341796875
100,Insert,0.12498400019467226,0.07045199981803307,10.33984375,6.48828125
100,Search,0.13141599993105046,0.10579799982224358,10.33984375,6.48828125
100,Range,0.007276599990291288,0.004446299999472103,10.33984375,6.48828125
100,Delete,0.09489700005360646,0.06928900029379292,10.33984375,6.48828125
